0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
16,NSK MIAMI (ARCOR),,,,0,,1,,,ARGENTINA,,EX,,0,0,0,,202,2
17,BEARINGS & MOTIVE SPECIALITIES,,,90 WESTMORELAND AVE,0,,25,1 914 4282900FAX: 1 914 9930313,LADLER@CAIS.COM,USA,LESLIE ADLER,XE,,0,0,0,,202,2
18,GEA COMMERCE-5 LTD.,,,36 OSMI SEPTEMVRI STR.,9009,VARNA BULGARIA,1,359 52 453 673,GEAKOM@MAIL.VEGA.BG,ARGENTINA,BOYAN TZANEV,IN,,0,0,0,,202,2
19,RBK,,,2; RUE DE LA PATURE,8420,CARRIÈRES/SEINE,25,+33 (1) 61 044646 / FAX +33 (1) 61044640,rbk@wanadoo.fr,FRANCE,,XE,,0,0,0,,202,2
20,IBD LTD.,INDUSTRIAL BEARING DISTRIBUTIO,,UNIT 3 CITY PARK IND. EST.,0,,25,0044-0-1132796988 FAX: 0044-0-1132310336,NBarnes961@aol.com,LEEDS - W. YORKS - L12 6 DR,Nigel,XE,,0,0,0,,0,0
21,ABF BEARINGS BV,,,NUCLEONWEG 3a,4706,ROOSENDAAL,25,31 165 547916 FAX: 31 165 549191,sales@abfbearings.nl,THE NETHERLANDS,,XE,,0,0,0,,0,0
22,BTM BEARING TRADE,,,A-4431 HAIDERSHOLEN,4431,WEIXLGARTEN 4,25,43/7252/37555,btm@b-shop.at,VIENA - AUSTRIA,FRANZ MILTNER,XE,,0,0,0,,0,0
23,BEARINGS 2000 (Pty) Ltd,,,77 WALT STREET; MEADOWDALE EXT,0,GERMISTON; GOUTENG,25,+27 (0) 11 573 7800,brg2k@mweb.co.za,JOHANNESBURG; SOUTH AFRICA,,XE,,0,0,0,,0,0
24,WALZLAGER SCHILLER GmbH,,,HEINRICH GOEBEL STR. 15,1515,GREVENBROICH,25,02181-22750FAX 02181-227522,Waelzlager-Schiller@rp-plus.de,,NORBERT SCHELLER,XE,,0,0,0,,0,0
25,THE TORRINGTON COMPANY,,,59 FIELD STREET,0,,25,(561) 393-8990,,,,XE,,0,0,0,,0,0
26,RODA-IRUÑA S.A.,,,POLIGONO INDUSTRIAL NOAIN,0,ESQUIROZ NAVE 66 PARCELA 10,25,,,ESPAÑA,,XE,,0,0,0,,0,0
27,BENNING-STOCKLOTS B.V.,,,5801 KB VENRAY,0,EVERESTLAAN 6 - NEDERLAND,25,,,HOLANDA,,XE,,0,0,0,,0,0
28,AGENCIA OBROTU NORMALIAMI,COMPLEX,,92-332 LODZ; AL. PILSUDSKIEGO,0,,25,,,POLONIA,,XE,,0,0,0,,0,0
29,WUJIN VEGA BEARING PODCTION CO,,,NO. 24; XINGLONG STREET MAHANG,3162,CHANGZHOU CITY;JIANGSU PROVIDE,1,,,ARGENTINA,,IN,,0,0,0,,0,0
30,RACO TRADING S.A.,,,CTRA SANGRONIZG; BEAZ 14-A,4815,SONDICA - VIZCAYA,25,,,ESPAÑA,,XE,,0,0,0,,0,0
31,ROCKWELL AUTOMATION,RELIANCE ELECTRIC,,6040-PONDERS COURT-,0,GREENVILLE;SC 29615,25,,,U.S.A.,,XE,,0,0,0,,0,0
32,U.R.B.BEARING DISTRIBUTION LTD,,,15 TUSHIA ST.; TEL-AVIV ISRA,0,,25,972-3-5622759,,ISRAEL,,XE,,0,0,0,,0,0
33,F.I.N. SPÓLKA AKCYJNA,,,UL. HANDLOWA 2A,0,KOLBUSZOWA,25,48 17 227 0000,,POLONIA,,XE,,0,0,0,,0,0
34,ONYX KTK LTD.,,,1000 SOFIA; P BOX 1341,0,,25,(359 2) 920 1265 FAX: (359 2) 929 39 35,onyx-ktk@bcci.bg,BULGARIA,,XE,,0,0,0,,0,0
35,FROHLICH & DORKEN GmbH,,,STEFANABECKE 44-HABLINGHAUSEN,0,ALEMANIA,25,,,ALEMANIA,,XE,,0,0,0,,202,2
36,OTC (XIAMEN) BEARING CO.LTD.,ZONE JIMEI XIAMEN - CHINA,,N°83-87 LIANG TANG ROAD NORTH,0,CHINA,25,0086-592-6689006FAX: 6689007,,CHINA,,XE,,0,0,0,,0,0
37,DEFONTAINE S.A.-ROLLIX,,,RUE SAINT ELOI,8553,LA BRUFFIERE,1,33(0)2 51 45 94 94,,ARGENTINA,LUIS A. MAGGIORE,IN,,0,0,0,,0,0
38,SALFAVEL,,,,0,,25,,,CHILE,,XE,,0,0,0,,0,0
39,EISENHART LAEPPCHE GmbH,,,AN DER JUNKEREL 27,2838,WILHELMSHAVEN,25,44219700,info@laappche.de,GERMANY,KERSTIN,XE,,0,0,0,,0,0
40,MIDLAND BEARINGS LTD.,KINGSWINFORD,,UNIT.33.SECOND AVENUE,0,WEST MIDLAND DY6 7PP-ENGLAND,25,01384-841400/841414/841450/841460/,Sales@MidlandBearings.com,PENSNETT TRADING STATE-ENGLAND,,XE,,0,0,0,,0,0
41,NOMO KULLAGER AB,,,,0,,25,,,SUECIA,,XE,,0,0,0,,0,0
42,JIANGSU RONG TIALE MACHINERY,Co. Ltd.,,No 81 WUMING SOUTH Rd; HUTANG,0,TOWN; WUJIN; CHANGZHOU;JIANGSU,25,,,CHINA,,XE,,0,0,0,,0,0
43,NBC GROUP LTD,,,ORLETON LANE; WELLINGTON,0,TF1 2GB SHROPSHIRE,25,44 (0)1952-242070,EXPORTS@NBCGROUP.CO.UK,ENGLAND,WWW.NBCGROUP.CO.UK,XE,,0,0,0,,202,2
44,HENFEL INDUSTRIA MEALURGICA,LTDA,,RUA MINERVINO DE C.PEDROSO 231,0,JABOTICABAL/SP 14871,25,55-16-3202-3422 FAX 3202-3563,HENFEL@HENFEL.COM.BR,BRAZIL,,XE,391017749110,0,0,0,,0,0
45,AUSTRALIAN BEARINGS PTY.LTD.,,,4-5 BREX; RESERVOIR 3073,0,VICTORIA,25,(03)94622644 FAX 94608014,,AUSTRALIA,,XE,,0,0,0,,0,0
46,KIAN HO BEARING LTD,,,5 CHANGI SOUTH STREET 3,0,SINGAPORE 486117,25,6287-5866FAX:6542-5633,WWW.KIANHO.COM.SG,SINGAPORE,,XE,,0,0,0,,0,0
47,LIFE LIGHT ASP TRADING LLC,,,P.O.BOX 41550,0,DUBAI,25,00971-4-2271216 / FAX 00971-4-2271320,NOORHYAT@EMIRATES.NET.AE,EMIRATOS ARABES,,XE,,0,0,0,,202,2
48,SENIOR ENGINEERING SERVICES LD,,,UNITS1&2-MANOR PARK IND.ESTATE,0,KING STREET-DRIGHLINGTON,1,0113 287 99 78,senior.eng@btconnect.com,ARGENTINA,PAUL SENIOR,EX,,0,0,0,,0,0
49,JAMO EQUIPAMENTOS TDA.,,,RUA GERALDO HARNACK 300,0,VILA LALAU,25,55 47 371 3394FAX 55 47 371 1194,,JARAGUA DO SUL - BRAZIL,,XE,,0,0,0,,0,0
50,GERO ES TARSA KER. ES SZOLG BT,,,6000 KECSKEMET;,0,HALASI UT 29,25,06-76/506-333 / 335 / 06-20/9592-813,GERO-BT@FREEMAIL.HU,SUECIA,GERO JANOS,XE,,0,0,0,,0,0
51,ZDENEK HRADECKY,,,TRANOVICE 230,7395,HNOJNIK / TSCHECHISCHE,25,420-558-635125/635126 FAX,jakubek@hradecky.cz,REPUBLICA CHECA,JAKUBEK VACLAV,XE,,0,0,0,,0,0
52,HUZHOU YUSHUN IMP. & EXP.,CO.; LTD.,,8 FENGHUANG,0,HUZHOU,25,,,CHINA,CHARLES ZHANG,XE,,0,0,0,,0,0
53,FERCOMEX TRADE S.R.L.,,,MUZELOR NR 3,0,BUCHAREST,25,,,RUMANIA,,XE,,0,0,0,,0,0
54,BEARING & DRIVE SYSTEMS; INC.,,,14888 FOLTZ PARKWAY,4414,OHIO,25,,,USA,PAUL KOKURCO,XE,,0,0,0,,0,0
55,BEGA INTERNATIONAL BV,,,PostBox 118 - 8160 AC Epe.,8171,Schorsweg 15,25,,,The Netherlands,,XE,,0,0,0,,0,0
56,DUYAR RULMAN HIRDAVAT VE YEDEK,PARCA IMALAT SAN VE TIC LTD ST,,2818/1 SOK. NO. 22/A 1.SAN SIT,3511,IZMIR -,25,90-232-4336938 FAX 90-232-4594144,,TURKEY,EMIN AHUDZADE,XE,,0,0,0,,0,0
57,PTI UK LTD,,,UNIT 15 NUTWOOD TRADING ESTATE,0,LIMESTONE COTTAGE LANE SHEFFIE,25,44 (0) 114 234 0077 / FAX 231 6556,sales@ptiuk.comwww.ptiuk.com,UK,C.PARISH,XE,,0,0,0,,0,0
58,XI'AN SINTOP INDUSTRIAL CO.;,LTD. (BECO),,16A; MERCHANTS PLAZA; 78,0,DONGGUAN ZHENJIE STREET,25,,,CHINA,,XE,,0,0,0,,0,0
59,CHANGZHOU VEGA BEARING PRODUCT,CO.; LTD,,No.24; XINGLONG STREET MANHANG,0,JIANGSU PROVINCE 213162 P.R.,25,,,CHINA,,XE,,0,0,0,,202,2
60,XIN LUN BEARINS GROUP LIMITED,,,N°8-605;LANE 988,0,ZHONG SHAN WEST ROAD,25,86-574-87503999,michelle@xlbearings.com,NINGBO-CHINA,MICHELLE,XE,,0,0,0,,0,0
61,QUINZANI S.P.A.,,,VIA VOLTA; 21/D,2501,SAN ZENO - NAVIGLIO (BS),25,,,ITALIA,,XE,,0,0,0,,0,0
62,ZVL ITALIA S.P.A.,,,88 VIALE DE GASPERI,2001,RHO (MILANO),25,293901366,ULF.CONTAB@ZVL.IT,ITALIA,,XE,,0,0,0,,202,2
63,CONFIDENZA Kft,,,H-1138 BUDAPEST,0,REVESZ u. 9.,25,,richter@confidenza.hu,HUNGARY,SUSAN RICHTER,XE,,0,0,0,,202,2
64,ROBRASA ROLAMENTOS ESPECIAIS,ROTHE ERDE,,RUA LIDIA BLANK,8099,010 DIADEMA},25,(0055-11)4055-8400,www.robrasa.ind.br,SP - BRASIL,margareth,XE,,0,0,0,,202,2
65,TIMKEN DO BRASIL COMERCIO E IN,,,,0,,25,,,,,XE,,0,0,0,,202,2
66,HUDSON PRODUCTS CORPORATION,,,9660 GRUNWALD ROAD,0,BEASLEY TEXAS,25,,,USA,,XE,,0,0,0,,202,2
67,NINGBO HUARUI IMPORT AND,EXPORT CO.; LTD.,,ROOM 2207; 22/F,0,YAOHANG STREET - NINGBO,25,#NAME?,,CHINA,,XE,,0,0,0,,0,0
68,GeDe KUGELLAGER VERTRIEBS GmbH,,,POSTFACH 1356,5865,HEMER - WESTIG,25,02372 94 90-0,info@gedehemer.de www.gedehemer.de,GERMANY,,XE,,0,0,0,,0,0
69,FRAMAR S.A.,,,CALLE 32 ESTE/NERO 3-32,0,EDIFICIO PADILLA Y ASOCIADOS,25,598 02 99084538,,REPUBLICA DE PANAMA,OSVALDO GALLO,XE,,0,0,0,,0,0
70,JAMAICA BEARINGS CO.INC.,,,P.O.BOX 1080,1700,NEW HYDE PARK - NEW YORK,25,516 326-2045 FAX 516 326-2045,,USA,,XE,,0,0,0,,0,0
71,VANGUARD GENERAL TRADING FCZ,,,E-46G-38,4810,HIMRIYA FREE ZONE - SHARJAH,25,,vanguard.fzc@emirates.net.ae,UNITED ARAB EMIRATES,MAHMOOD,XE,,0,0,0,,0,0
72,IBATECH TECNOLOGIA LTDA,,,AV AMAZONAS 976 -B SAO GERALDO,9024,PORTO ALEGRE - RS,25,0055 51 3337 2870,,BRASIL,JOSE O CHINI,XE,,0,0,0,,0,0
73,KINKEL EKOINVEST SP.J.,,,UL. BOR 135/157,4220,CZESTOCHOWA,25,,,POLONIA,,XE,,0,0,0,,0,0
74,RODAMIENTOS SAMPER S.A. DE C.V,,,CARRET AL LAGO DE GUADAL NRO 6,5292,ATIZAPAN DE ZARAGOZA,25,,ventas@rodamientos-samper.com.mx,MEXICO,,XE,,0,0,0,,202,2
75,SC UNICENTER E.S.D. SRL,,,DOLJ PODARI; STR COLONIERI NR2,0,ROMANIA,25,40741180159,unicenterbearings@yahoo.com,ROMANIA,michael junts,XE,,0,0,0,,202,2
76,LOZYSKA POLSKA SP.Z O.O,,,UL. GORZYSLAWA 27,0,POZNAN,25,+48 61 870 88 30/ 876 89 76,lozyskapolska@wp.pl,ALEMANIA,MARZENA KACZMAREK,XE,,0,0,0,,202,2
77,CARL WERTHENBACH KONSTRAKTION,STEILE GMBH & CO. KG},,GRAFENHEIDER STR. 101,3729,BIELEFELD,25,,,ALEMANIA,,XE,,0,0,0,,202,2
78,RODAMIENTOS Y SERVICIOS S.L.,ROYSE,,PARQUE SEVILLA INDUSTRIAL,4101,SEVILLA,25,+34 954 671 050/FAX +34 954 671 496,sevilla@rodamientos.net,ESPAÑA,LUCIA CASTILLO,XE,,0,0,0,,202,2
79,BAKER BEARING CO.,,,13560 SE PHEASANR CT,7222,2 PORTLAND,25,,,USA,DOUG BAKER,XE,,0,0,0,,202,2
80,SNR ROLAMENTOS DO BRASIL LTDA,,,AV DAS INDUSTRIAS 380,0,FAZENDA RIO GRANDE,25,5541 627 8000,snr.brasil@snr.brte.com.br,BRASIL,,XE,,0,0,0,,202,2
81,TIMKEN INDIA LIMITED,,,BARA PO:AGRICO JAMSHEDPUR 831,0,JAMSHEDPUR,25,0657-2210293 / FAX 221290; 2211483,,INDIA,,XE,,0,0,0,,202,2
82,HIGH HOPE INT'L GROUP,JIANGSU MEDICINES & HEALTH,,12-13 FLOOR; HIGH HOPE BUILDIN,2100,NANJING,25,,,CHINA,,XE,,0,0,0,,202,2
83,JOHN HANDLEY BEARINGS LIMITED,,,UNIT 2 HEATH MILL BUSINESS CEN,0,STAFFORDSHIRE,25,,,REINO UNIDO,,XE,,0,0,0,,202,2
84,MOTION INDUSTRIES INC.,,,824 NORTH 31 ST STREET,3520,BIRMINGHAM,25,(205) 251-7522 fax 250-5500,,USA,,XE,,0,0,0,,202,2
85,BALDOR ELECTRIC COMPANY,,,PO BOX 802738,0,KANSAS CITY,25,,,USA,,XE,,0,0,0,,202,2
86,CANTONI PIERGIORGIO & C S.N.C.,,,VIA LABIRINTO 161,2512,BRESCIA,25,,barbaracantonicuscinetti.com,ITALIA,BARBARA,XE,,0,0,0,,202,2
87,ROEIRASA VIGO,,,PARQUE TECNOLOGICO DE VIGO,6312,VIGO,25,0034 986 298800,internacional@roeirasa.es,ESPAÑA,VICTORIA RODRIGUEZ,XE,,0,0,0,,0,0
88,FAIRSKQ (TAIWAN) CO. LTD.,,,186 YUNG CHI ROAD,0,TAIPEI - TAIWAN,25,886-2-27639696 FAX: 886-2-27680637,FSQSALES@FAIRFRIEND.COM.TW,CHINA,,XE,,0,0,0,,0,0
89,MBL (USA) CORPORATION,,,601 DAYTON RD.,0,OTTAWA,25,815-434-1282 / 815-434-2897,,ESTADOS UNIDOS,YANN TAUREL,XE,,0,0,0,,0,0
90,TIMKEN U.S. CORPORATION,,,LOCK BOX SUITE 1827,0,CHICAGO,25,,,ESTADOS UNIDOS,,XE,,0,0,0,,0,0
91,BDI BEARING DIRECT INTERNATION,AL GMBD.,,,0,10178 BERLIN,25,,,GERMANY,,XE,,0,0,0,,0,0
92,TIMKEN SOUTH AFRICA (PTY) LTD,,,EDINBURGH RD.INDUSTRIAL SITES,0,PO BOX 5050,25,,,SOUTH AFRICA,,XE,,0,0,0,,202,2
93,IZZO S.R.L.,,,VIA CONCORDIA;12,0,80026-CASORIA (NA) ITALIA,25,390817573814/FAX: 390817577729,www.Izzogroup.it-info@izzogroup.it,ITALIA,,XE,,0,0,0,,0,0
94,BECO S.R.L.,BEARINGS COMPONENTS,,VIA A. VOLTA 7,0,12100 CUNEO (CN),25,P.I. (VAT) 02663320048,,ITALY,PAOLO BALBIANO,XE,,0,0,0,,0,0
95,CARL WERTHENBACH,KONSTRUKTIONSTEILE GmbH & Co.,,POSTFACH 103151,0,33531 BIELEFELD,25,0521 / 9768-0FAX: 0521 / 9768-252,,GERMANY,,XE,,0,0,0,,0,0
96,MARTIN SPROCKET & GEAR DE MEXI,CO;S.A. DE C.V.,,PQUE.INDUSTRIAL TOLUCA 2000,0,TOLUCA,25,(722)276-0800/FAX:(722)276-0801,,MEXICO,,XE,,0,0,0,,0,0
97,FRIEDRICH PICARD GmbH,,,WULLENER FELD 81,0,WITTEN,25,49 (0) 2302 6607-130 FAX 2302 6607-200,marcelo.contreras@picard.de,ALEMANIA,MARCELO CONTRERAS,XE,,0,0,0,,0,0
98,THE BEARING WAREHOUSE LIMITED,,,UNIT 13 NUTWOOD TRADING ESTATE,0,SHEFFIELD,25,+44 1142 310 310,sally@thebearingwarehouse.co.uk,UNITED KINGDOM,SALLY LAYTON,XE,,0,0,0,,0,0
99,RAK AND ROLL Sp.J.,,,RYBNIK - UL. ZAMOJSKIEGO 35A,0,,25,+48 32 4250648,krystian.stepien@rakandroll.pl,POLAND,KRYSTIAN STEPIEN,XE,,0,0,0,,0,0
100,NSK ARGENTINA S.R.L.,,30-70700591-9,GARCIA DEL RIO 2477-P.7/OF.A,1429,CDAD.AUTONOMA DE BUENOS AIRES,1,,4704-5100/FAX:4704-0033,ARGENTINA,,IN,,0,0,0,,0,0
101,FRIEDRICH PICARD GMBH,VAT DE 126870551 HRB8598,,WULLENER FELD 81 D-58454WITTEN,0,,25,+49(0)23026607-130 +49(0)23026607-200,post@picard.de,ALEMANIA,,XE,,0,0,0,,0,0
102,BBR GmbH,,,DIMISMANING 34,0,85748 GARCHING,25,+49 89 149 026 17 FAX: +49 89 149 026 35,d.wir@bbr-gmbh-de.com,GERMANY,,XE,,0,0,0,,0,0
103,COFICAL RENK MANCAIS DO BRASIL,LTDA.,,RODOVIA BR 280; KM 54; NRO,0,10386 - BAIRRO AVAI CODE 89270,25,55 (47) 3373-6400 FAX 55 (47) 3373-6499,geneci.mayer@renk.com.br,GUARAMIRIM - SC - BRASIL,ERMELINDO JOSE DE REZENDE GENERAL MANAGE,XE,,0,0,0,,0,0
104,HENDERSON BEARINGS,,,CROW ARCH LANE;RINGWOOD;,0,HAMPSHIRE BH24 INZ UK,25,01425-477787-7lines,FACSIMILE.01425-478883,ENGLAND,,XE,,0,0,0,,0,0
105,SFERAX S.A.,FABRIQUE DE ROULEMENTS LINEAIR,,,0,CH-2016-CORTAILLOD,25,,INFO@SFERAX.CH,SUIZA,WWW.SFERAX.CH,XE,,0,0,0,,0,0
106,DRIVES LLC,,,901 19th AVENUE FULTON ILLINOI,0,AVENUE FULTON ILLINOIS,25,TEL: 1-815-589-2211 FAX: 1-815-589-4420,info@sferax.ch,ESTADOS UNIDOS,,XE,,0,0,0,,0,0
107,BALTIC BEARING SUPPLY GMBH,,,,0,,25,+49 4532 27270 FAX: +49 4532 260810,balticbs@aol.com,,SALES,XE,,0,0,0,,0,0
108,ICBE INTERCONTINENTAL-BEARING,,,TALSTR.77;D-98544 ZELLA-MEHLIS,0,MEHLIS,25,03682-46540,www.online-bearings.de,GERMANY,account nr.070099029,XE,,0,0,0,,0,0
109,BLAIR BEARINGS; INC.,,,12155 SW 114th PLACE,0,FL; 33176 MIAMI,25,(305) 233-3020 FAX: (305) 252-3820,BLAIRBRG@aol.com,EE.UU.,,XE,,0,0,0,,0,0
110,HITACHI MAXCO; LTD.,,,1630 COBB INTERNATIONAL BLVD.,0,KENNESAW; GA. 30152,25,800-241-8209/770-424-9650/800-241-9145,,ESTADOS UNIDOS,,XE,,0,0,0,,0,0
111,C.E.R. CENTRO EUROPEO RICAMBI,CER CENTRO EUROPEO RICAMBI; SL,,C/ CAN SINGLA ESQ,8640,C/ CAN SINGLA ESQ LES FILADORE,25,,,BARCELONA,,XE,,0,0,0,,0,0
112,G&Y INTERNATIONAL,,,1239;WOORIM RODEOSWEET 771-1,0,JANGHANG-DONG.ILSAN DONG-GU,25,82319257093/FAX:82316966027,,KOREA,,XE,,0,0,0,,202,2
113,FARO BEARINGS; INC,,,6208 CLARK CENTER AVENUE,0,SARASOTA; FLORIDA 34238,25,941 925 3004 FAX: 305 489 7814,mforbes@farobearings.com,ESTADOS UNIDOS,,XE,,0,0,0,,0,0
114,M & M INTERCOM D.O.O.,,,LETALISKA CESTA 33A,1000,LJUBLJANA - SLOVENIJA,25,+386 1 5200 106,Maj.Alibaiee@mm-intercom.si,SLOVENIJA,,XE,,0,0,0,,0,0
115,DURBAL,VERTRIEBSGES mbH,,POSITACH 1440,7460,OBRINGEN,25,+49(7941)9460-33 FAX: +49(7941)9460-90,carolinevermeulen@durbal.de,ALEMANIA,,XE,,0,0,0,,0,0
116,ROYAL BEARING INC.,,,14025 NE AIRPORT WAY,0,PORTLAND;OR 97230,25,,,ESTADOS UNIDOS,,XE,,0,0,0,,0,0
117,RODAVIGO S.A.,,,POLIGONO INDUSTRIAL O REBULLON,6416,ESPAÑA,25,0.999994291,rodavigo@rodavigo.com,ESPAÑA,,XE,,0,0,0,,0,0
118,HAYLEY GROUP PLC,,,SHELAH ROAD;HALESOWEN;WEST,0,MIDLANDS B63 3XL,25,,,ESTADOS UNIDOS,,XE,,0,0,0,,0,0
119,TEC-TOR INDUSTRIA E COMERCIO,DE EQUIPAMENTOS LTDA.,,AV.NOVO HORIZONTE;406,0,SANTO ANDRE-SAO PAULO,25,CEP.09060-820,vendas@tector.com.br,BRASIL,,XE,,0,0,0,,0,0
120,BRAMMER IBERIA S.A,,,POL IND ERLETXE,0,PLATAFORMA D-152-PAB.1,25,94 457 94 00FAX: 94 957 94 20,administracion@brammer.biz,ESPAÑA,,XE,,0,0,0,,0,0
121,DIAGO SF S.R.O.,,,SLEZNICNA 7,7701,BREZNO,25,,,,,XE,,0,0,0,,0,0
122,SLS BEARINGS (S) PTE.LTD.,,,MAIN 31;TUAS AVE 11,0,SINGAPORE 639105,25,6865-2323,,SINGAPORE,,XE,,0,0,0,,0,0
123,RINGSPANN IBERICA S.A.,,,VITORIALANDA; 1 -01010 VITORIA,0,,25,945 22 77 50 FAX: 945 24 87 38,,,,XE,,0,0,0,,0,0
124,S.C BEARINGS ONLINE S.R.L,,,BDUL GRIVITEI NO 66; B1 4 ; AP,5001,RUMANIA,25,,,RUMANIA,,XE,,0,0,0,,0,0
125,EURO BEARING DEUTSCHLAND GMBH,,,ROBERT-PERTHEL-Str. 10,0,KOLN,25,+49 221-91 71 75-2,,ALEMANIA,,XE,,0,0,0,,0,0
126,AVAILABLE BEARING COMPANY,,,60 SILVERBROOK RD,8237,MCADOO,25,570-929-2381 / FAX 570-9929-1733,availablebearing@gmail.com,ESTADOS UNIDOS,,XE,,0,0,0,,0,0
127,NATIONAL BEARING SERVICE,,,161-1 INDUSTRIAL PARKWAY,0,BRANCHBURG NJ 08876,25,,sales@nationalbearing.com,,,XE,,0,0,0,,0,0
128,UFP TECHNOLOGIES,,,2175 PARTIN SETTLEMENT ROAD,0,4 KISSIMMEE,25,407-933-4880/ 407-933-5029,,,,XE,,0,0,0,,0,0
129,ROULEMENTS BEARINGS EXPORT,,,3 BIS; AVENUE MARC LEFRANCQ,5912,PROUVY,25,+33 (0)327475770 / 327365069,pierrepetiau@pierrepetiau.com,FRANCIA,,XE,,0,0,0,,0,0
130,SC BAD RULMENTI SA,,,ZIZINULUI NR 111 BRASOV ROMANI,0,ROMANIA,25,,,0040268-331984 / 0040268-33094,,XE,,0,0,0,,202,2
131,RICAMBI INDUSTRIALI VENETI,,,VIA. COL.A; VARISCO; 26/B,5010,PRAGA DI VIGONZA (PADOVA),25,(049) 8930684 / FAX: (049) 8930506,info@rivsrl.com,ITALIA,,XE,,0,0,0,,202,2
132,UNIVERSAL BEARING COMPANY,,,PO BOX 79001-DRAWER 1581,0,DETROIT;ML 48279-1581,25,(313)933-1100/(800)521-2418,www.universalbearing.com,ESTADOS UNIDOS,FAX: (313) 933-8888,XE,,0,0,0,,0,0
133,IRG. INDUSTRIAL BUSINESS SRL,,,STR PECINISCA; NR6 SECTOR 5,5150,BUCURESTI,25,0040720068075 / FAX: 00404207001,irg.romania@yahoo.com,RUMANIA,,XE,,0,0,0,,0,0
134,LEWIS INTERNATIONAL BEARIGN,COMPANY PTY LTD,,14 HANRAHAN STREET,0,THOMASTOWN VIC 3074,25,6139465-7244/FAX:6139465-3622,,AUSTRALIA,,XE,,0,0,0,,0,0
135,ABRA AS KULELAGERSENTERET,,,POSTBOKS 1801 LADE,7440,TRONDHEIM,25,TEL: 73894410 / FAX: 73894411,j.ledal@abraas.no,NORUEGA,,XE,,0,0,0,,0,0
136,RODANET SPAIN S.L,,,AVDA. PEÑA PRIETA; 26,2803,MADRID,25,,,ESPAÑA,,XE,,0,0,0,,0,0
137,BERICA CUSCINETTI S.R.L.,,,VIA FORNACI 6/10,0,36100-VICENZA,25,0444-563585/FAX:0444-961957,BERICAob@bericacuscinettisrl.191.it,ITALIA,,XE,,0,0,0,,0,0
